Species,Species_modified_from_WAHIS_FAO,host_class,host_order,host_family,host_gen_sp
,Smew,Aves,Anseriformes,Anatidae,Mergus_albellus
,Eurasian curlew,Aves,Charadriiformes,Scolopacidae,Numenius_arquata
,Dalmatian_pelican,Aves,Pelecaniformes,Pelecanidae,pelecanus_crispus
,Common pheasant,Aves,Galliformes,Phasianidae,Phasianus_colchicus
,Eurasian magpie,Aves,Passeriformes,Corvidae,Pica_pica
,Great crested grebe,Aves,Podicepiformes,Podicipedidae,Podiceps_cristatus
,smew,Aves,Anseriformes,Anatidae,
,smew,Aves,Anseriformes,Anatidae,
,Stone_curlew,Aves,Charadriiformes,Burhinidae,
,Eurasian collared dove,Aves,Columbiformes,Columbidae,Streptopelia_decaocto
,Eurasian collared dove,Aves,Columbiformes,Columbidae,Streptopelia_decaocto
,Eurasian collared dove,Aves,Columbiformes,Columbidae,Streptopelia_decaocto
,Eurasian collared dove,Aves,Columbiformes,Columbidae,Streptopelia_decaocto
,Swiftlet,Aves,Apodiformes,Apodidae,
,Pallas's sandgrouse,Aves,Pterocliformes,Pteroclidae,Syrrhaptes_paradoxus
,Sandwich_Tern,Aves,Charadriiformes,Laridae,Thalasseus_sandvicensis
,Towny_owel,Aves,Strigiformes,Strigidae,
,Von_Schrenck_s_bittern,Aves,Pelecaniformes,Ardeidae,
,western_jackdaw,Aves,Passeriformes,Corvidae,
,western_jackdaw,Aves,Passeriformes,Corvidae,
,western_jackdaw,Aves,Passeriformes,Corvidae,
,White_peacock,Aves,Galliformes,Phasianidae,
